"DATE","Y","G","G_MO","G_R","R_D","DEF"
1947-01-01,243.164,40.274,1.172,39.102,1.009,12.04107
1947-04-01,245.968,40.138,1.172,38.966,1.032,12.21183
1947-07-01,249.585,39.361,1.192,38.169,1.06,12.41718
1947-10-01,259.745,39.534,1.216,38.318,1.104,12.72305
1948-01-01,265.742,40.875,1.248,39.627,1.143,12.82356
1948-04-01,272.567,42.884,1.3,41.584,1.147,12.93921
1948-07-01,279.196,44.66,1.32,43.34,1.156,13.17806
1948-10-01,280.366,46.603,1.336,45.267,1.109,13.21805
1949-01-01,275.034,48.585,1.344,47.241,1.015,13.1478
1949-04-01,271.351,50.381,1.348,49.033,0.964,13.01594
1949-07-01,272.889,50.356,1.336,49.02,0.952,12.9565
1949-10-01,270.627,49.91,1.316,48.594,0.976,12.95758
1950-01-01,280.828,48.956,1.292,47.664,1.071,12.93704
1950-04-01,290.383,49.643,1.284,48.359,1.164,12.98136
1950-07-01,308.153,49.746,1.296,48.45,1.247,13.26344
1950-10-01,319.945,53.713,1.34,52.373,1.289,13.51202
1951-01-01,336,62.033,1.392,60.641,1.296,13.99946
1951-04-01,344.09,69.821,1.46,68.361,1.332,14.09241
1951-07-01,351.385,78.046,1.54,76.506,1.385,14.10105
1951-10-01,356.178,83.314,1.62,81.694,1.493,14.26209
1952-01-01,359.82,84.998,1.696,83.302,1.668,14.25561
1952-04-01,361.03,88.987,1.776,87.211,1.798,14.2729
1952-07-01,367.701,90.931,1.868,89.063,1.948,14.43286
1952-10-01,380.812,93.418,1.952,91.466,2.136,14.47176
1953-01-01,387.98,95.764,2.08,93.684,2.264,14.47501
1953-04-01,391.749,97.925,2.176,95.749,2.384,14.50419
1953-07-01,391.171,96.622,2.28,94.342,2.46,14.56471
1953-10-01,385.97,96.747,2.376,94.371,2.506,14.59173
1954-01-01,385.345,94.831,2.472,92.359,2.532,14.63821
1954-04-01,386.121,92.534,2.556,89.978,2.544,14.65118
1954-07-01,390.996,91.148,2.632,88.516,2.532,14.67063
1954-10-01,399.734,91.356,2.704,88.652,2.542,14.71062
1955-01-01,413.073,91.869,2.772,89.097,2.489,14.77979
1955-04-01,421.532,92.533,2.908,89.625,2.575,14.84031
1955-07-01,430.221,94.099,3.1,90.999,2.719,14.94407
1955-10-01,437.092,93.331,3.368,89.963,2.962,15.09214
1956-01-01,439.746,94.848,3.692,91.156,3.294,15.24345
1956-04-01,446.01,98.247,3.988,94.259,3.546,15.33315
1956-07-01,451.191,98.279,4.264,94.015,3.677,15.52553
1956-10-01,460.463,101.345,4.516,96.829,3.77,15.58822
1957-01-01,469.779,105.342,4.716,100.626,3.711,15.80222
1957-04-01,472.025,105.842,4.856,100.986,3.684,15.91246
1957-07-01,479.49,107.405,4.952,102.453,3.727,16.00757
1957-10-01,474.864,110.062,5.008,105.054,3.773,16.01837
1958-01-01,467.54,109.843,5.02,104.823,3.839,16.19238
1958-04-01,471.978,113.624,5.064,108.56,3.906,16.23885
1958-07-01,485.841,115.093,5.18,109.913,4.05,16.33829
1958-10-01,499.555,117.992,5.352,112.64,4.171,16.4161
1959-01-01,510.33,117.195,5.54,111.655,4.247,16.45393
1959-04-01,522.653,118.535,5.692,112.843,4.367,16.47987
1959-07-01,525.034,119.492,5.776,113.716,4.4,16.54364
1959-10-01,528.6,118.608,5.8,112.808,4.517,16.60848
1960-01-01,542.648,116.951,5.824,111.127,4.736,16.67441
1960-04-01,541.08,118.38,5.852,112.528,4.86,16.71656
1960-07-01,545.604,122.419,5.948,116.471,4.92,16.77384
1960-10-01,540.197,124.33,6.068,118.262,4.951,16.82356
1961-01-01,545.018,126.218,6.272,119.946,4.993,16.86031
1961-04-01,555.545,127.254,6.492,120.762,5.099,16.89922
1961-07-01,567.664,129.961,6.616,123.345,5.209,16.94245
1961-10-01,580.612,133.516,6.652,126.864,5.338,16.99541
1962-01-01,594.013,137.107,6.644,130.463,5.438,17.08295
1962-04-01,600.366,138.426,6.656,131.77,5.567,17.11105
1962-07-01,609.027,142.052,6.692,135.36,5.64,17.14672
1962-10-01,612.28,143.562,6.74,136.822,5.719,17.18238
1963-01-01,621.672,143.724,6.812,136.912,5.823,17.25696
1963-04-01,629.752,144.132,6.888,137.244,5.938,17.28722
1963-07-01,644.444,149.927,6.956,142.971,6.045,17.30992
1963-10-01,653.938,150.989,6.964,144.025,6.143,17.45042
1964-01-01,669.822,152.554,6.972,145.582,6.255,17.50554
1964-04-01,678.674,154.314,6.948,147.366,6.404,17.54553
1964-07-01,692.031,156.033,6.872,149.161,6.561,17.61578
1964-10-01,697.319,156.152,6.764,149.388,6.72,17.69576
1965-01-01,717.79,157.025,6.668,150.357,6.929,17.78438
1965-04-01,730.191,159.808,6.608,153.2,7.115,17.86652
1965-07-01,749.323,166.761,6.592,160.169,7.298,17.93569
1965-10-01,771.857,172.619,6.62,165.999,7.531,18.0589
1966-01-01,795.734,177.032,6.688,170.344,7.716,18.17455
1966-04-01,804.981,181.659,6.82,174.839,7.96,18.3237
1966-07-01,819.638,189.466,7.012,182.454,8.213,18.50095
1966-10-01,833.302,193.621,7.28,186.341,8.447,18.6555
1967-01-01,844.17,202.588,7.596,194.992,8.682,18.73332
1967-04-01,848.983,203.811,7.816,195.995,8.87,18.82842
1967-07-01,865.233,208.379,7.888,200.491,9.101,19.00892
1967-10-01,881.439,213.293,7.876,205.417,9.295,19.22075
1968-01-01,909.387,219.749,7.756,211.993,9.553,19.43367
1968-04-01,934.344,223.637,7.712,215.925,9.795,19.63902
1968-07-01,950.825,227.37,7.744,219.626,10.038,19.8314
1968-10-01,968.03,231.347,7.852,223.495,10.316,20.11132
1969-01-01,993.337,233.705,8.04,225.665,10.574,20.31883
1969-04-01,1009.02,236.859,8.136,228.723,10.87,20.57714
1969-07-01,1029.956,242.535,8.156,234.379,11.138,20.86679
1969-10-01,1038.147,242.838,8.08,234.758,11.346,21.13591
1970-01-01,1051.2,247.889,7.932,239.957,11.429,21.43421
1970-04-01,1067.375,249.143,7.836,241.307,11.45,21.7325
1970-07-01,1086.059,254.584,7.8,246.784,11.542,21.91083
1970-10-01,1088.608,258.708,7.836,250.872,11.491,22.20049
1971-01-01,1135.156,261.905,7.924,253.981,11.693,22.53769
1971-04-01,1156.271,266.118,8.044,258.074,11.859,22.83383
1971-07-01,1177.675,269.783,8.212,261.571,11.968,23.0662
1971-10-01,1190.297,272.067,8.416,263.651,12.129,23.25858
1972-01-01,1230.609,282.228,8.648,273.58,12.486,23.61308
1972-04-01,1266.369,286.464,8.844,277.62,12.726,23.76006
1972-07-01,1290.566,284.316,9.016,275.3,12.964,23.98703
1972-10-01,1328.904,291.749,9.156,282.593,13.415,24.29289
1973-01-01,1377.49,299.571,9.264,290.307,13.915,24.57282
1973-04-01,1413.887,302.709,9.356,293.353,14.367,24.95109
1973-07-01,1433.838,304.189,9.42,294.769,14.809,25.43637
1973-10-01,1476.289,312.593,9.468,303.125,15.312,25.94326
1974-01-01,1491.209,324.586,9.496,315.09,15.712,26.43286
1974-04-01,1530.056,334.957,9.548,325.409,16.211,27.05755
1974-07-01,1560.026,346.71,9.6,337.11,16.71,27.85085
1974-10-01,1599.679,359.228,9.668,349.56,16.928,28.67009
1975-01-01,1616.116,370.138,9.756,360.382,16.936,29.3218
1975-04-01,1651.853,373.408,9.872,363.536,17.151,29.75736
1975-07-01,1709.82,385.394,10.028,375.366,17.688,30.28263
1975-10-01,1761.831,395.571,10.224,385.347,18.277,30.78952
1976-01-01,1820.487,401.291,10.452,390.839,18.921,31.11483
1976-04-01,1852.332,400.985,10.684,390.301,19.366,31.42826
1976-07-01,1886.558,403.517,10.924,392.593,19.829,31.83464
1976-10-01,1934.273,410.818,11.16,399.658,20.276,32.4053
1977-01-01,1988.648,421.202,11.412,409.79,20.721,32.92624
1977-04-01,2055.909,431.362,11.632,419.73,21.459,33.39098
1977-07-01,2118.473,438.014,11.84,426.174,22.082,33.79735
1977-10-01,2164.27,446.749,12.032,434.717,22.768,34.52797
1978-01-01,2202.76,452.589,12.208,440.381,23.436,35.02945
1978-04-01,2331.633,472.288,12.428,459.86,24.547,35.69954
1978-07-01,2395.053,484.229,12.704,471.525,25.387,36.30586
1978-10-01,2476.949,496.241,13.024,483.217,26.394,37.04837
1979-01-01,2526.61,501.818,13.404,488.414,27.379,37.72386
1979-04-01,2591.247,516.508,13.812,502.696,28.337,38.64793
1979-07-01,2667.565,533.106,14.252,518.854,29.582,39.49311
